error	steps
33807694433.0	1067.0
33802221278.0	1068.0
33800659174.0	1069.0
33790746829.0	1070.0
33788150383.0	1071.0
33785285022.0	1072.0
33783525590.0	1073.0
33781293627.0	1074.0
33778496408.0	1075.0
33774443100.0	1076.0
33768990738.0	1077.0
33768142548.0	1078.0
33766910710.0	1079.0
33764520353.0	1080.0
33762675670.0	1081.0
33762153214.0	1082.0
33753648261.0	1083.0
33752209702.0	1084.0
33744266051.0	1085.0
33740523269.0	1086.0
33732443747.0	1087.0
33722091666.0	1088.0
33720693759.0	1089.0
33717794470.0	1090.0
33716007129.0	1091.0
33713724232.0	1092.0
33710311158.0	1093.0
33708060756.0	1094.0
33703883854.0	1095.0
33699787090.0	1096.0
33697650962.0	1097.0
33696885399.0	1098.0
33695285180.0	1099.0
33693599002.0	1100.0
33691214308.0	1101.0
33690828776.0	1102.0
33689452965.0	1103.0
33684703147.0	1104.0
33676018735.0	1105.0
33674076160.0	1106.0
33670511151.0	1107.0
33669417982.0	1108.0
33668865794.0	1109.0
33667747437.0	1110.0
33666319235.0	1111.0
33665471640.0	1112.0
33662846630.0	1113.0
33661306453.0	1114.0
33656406860.0	1115.0
33650278068.0	1116.0
33647632536.0	1117.0
33645543100.0	1118.0
33642205528.0	1119.0
33640166815.0	1120.0
33635854246.0	1121.0
33635397694.0	1122.0
33634724653.0	1123.0
33633999599.0	1124.0
33619418885.0	1125.0
33615836233.0	1126.0
33615184145.0	1127.0
33611532411.0	1128.0
33609866995.0	1129.0
33608498842.0	1130.0
33607422657.0	1131.0
33603467598.0	1132.0
33602440226.0	1133.0
33599547145.0	1134.0
33597942030.0	1135.0
33595297818.0	1136.0
33593367926.0	1137.0
33587638947.0	1138.0
33585707378.0	1139.0
33583241596.0	1140.0
33582101396.0	1141.0
33579570771.0	1142.0
33578418659.0	1143.0
33576942970.0	1144.0
33575100235.0	1145.0
33571202352.0	1146.0
33570483192.0	1147.0
33569708066.0	1148.0
33557767880.0	1149.0
33554939625.0	1150.0
33551416909.0	1151.0
33550480092.0	1152.0
33548789944.0	1153.0
33547285448.0	1154.0
33546716219.0	1155.0
33546437376.0	1156.0
33545845660.0	1157.0
33545415775.0	1158.0
33542147444.0	1159.0
33540307895.0	1160.0
33540293857.0	1161.0
33538895391.0	1162.0
